package,version,compatible_licenses
tdigest,0.5.0.0,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
tdigest,0.5.2.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
textacy,0.3.2,[]
textacy,0.5.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
textacy,0.6.2,"['GPL-3.0-only', 'GPL-3.0-or-later']"
textract,1.6.3,"['GPL-3.0-only', 'GPL-3.0-or-later']"
uszipcode,1.0.1,[]
voxel51-eta,0.1.13,"['GPL-3.0-only', 'GPL-3.0-or-later']"
voxel51-eta,0.6.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
voxel51-eta,0.8.1,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
wemake-python-styleguide,0.13.3,[]
wemake-python-styleguide,0.14.1,[]
wemake-python-styleguide,0.16.0,[]
wemake-python-styleguide,0.17.0,[]
wemake-python-styleguide,0.6.0,[]
workalendar,14.1.0,[]
workalendar,16.2.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
workalendar,16.3.0,"['GPL-3.0-only', 'GPL-3.0-or-later']"
workalendar,7.2.0,[]
workflow,2.1.3,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
workflow,2.1.5,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
workflow,2.1.6,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
yt-dlp,2021.12.27,"['GPL-3.0-only', 'GPL-2.0-only', 'GPL-3.0-or-later', 'GPL-2.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
yt-dlp,2022.5.18,"['GPL-3.0-only', 'GPL-2.0-only', 'GPL-3.0-or-later', 'GPL-2.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
zha-quirks,0.0.30,"['GPL-3.0-only', 'GPL-3.0-or-later']"
zha-quirks,0.0.49,"['GPL-3.0-only', 'GPL-3.0-or-later']"
zha-quirks,0.0.65,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
zha-quirks,0.0.85,"['GPL-3.0-only', 'GPL-3.0-or-later', 'AGPL-3.0-only', 'AGPL-3.0-or-later']"
