package,version,date,license,which_tree,dep_name,dep_version,dep_license,is_direct,in_degree,out_degree,layer
ropwr,0.4.0,2022-10-25 17:47:59.061000+00:00,Apache-2.0,tree_created,ecos,2.0.10,GPL-3.0-only,False,1,2,2
rpy2,3.5.4,2022-08-21 21:18:41.752000+00:00,GPL-2.0-or-later,tree_created,pytz-deprecation-shim,0.1.0.post0,Apache-2.0,False,1,1,2
rpy2,3.5.4,2022-08-21 21:18:41.752000+00:00,GPL-2.0-or-later,tree_created,tzdata,2022.2,Apache-2.0,False,1,0,3
schedula,0.1.16,2017-09-26 15:02:36.381000+00:00,EUPL-1.1,tree_created,requests,2.18.4,Apache-2.0,True,1,4,1
schedula,0.1.16,2017-09-26 15:02:36.381000+00:00,EUPL-1.1,tree_created,chardet,3.0.4,LGPL-3.0-only,False,1,0,2
schedula,0.1.16,2017-09-26 15:02:36.381000+00:00,EUPL-1.1,tree_created,certifi,2017.7.27.1,MPL-2.0,False,1,0,2
schwifty,2020.11.0,2020-12-02 15:23:50.798000+00:00,MIT,tree_created,pycountry,20.7.3,GPL-2.0-only,True,1,0,1
schwifty,2021.10.2,2021-10-12 11:43:54.776000+00:00,MIT,tree_created,pycountry,20.7.3,GPL-2.0-only,True,1,0,1
schwifty,2022.7.1,2022-07-28 12:55:54.233000+00:00,MIT,tree_created,pycountry,22.3.5,GPL-2.0-only,True,1,0,1
scmrepo,0.0.7,2021-12-22 06:57:59.480000+00:00,Apache-2.0,tree_created,pygit2,1.7.2,GPL-2.0-only,True,1,2,1
scmrepo,0.1.3,2022-11-03 06:37:23.832000+00:00,Apache-2.0,tree_created,pygit2,1.10.0,GPL-2.0-only,True,1,1,1
scp,0.14.2,2021-12-15 15:00:15.596000+00:00,LGPL-2.1-or-later,tree_created,pynacl,1.4.0,Apache-2.0,False,1,2,2
scp,0.14.2,2021-12-15 15:00:15.596000+00:00,LGPL-2.1-or-later,tree_created,bcrypt,3.2.0,Apache-2.0,False,1,2,2
scp,0.14.4,2022-02-23 16:08:24.475000+00:00,LGPL-2.1-or-later,tree_created,pynacl,1.5.0,Apache-2.0,False,1,1,2
scp,0.14.4,2022-02-23 16:08:24.475000+00:00,LGPL-2.1-or-later,tree_created,bcrypt,3.2.0,Apache-2.0,False,1,2,2
seleniumbase,1.1.13,2015-12-04 23:10:23.070000+00:00,MIT,tree_created,ipdb,0.8.1,GPL-3.0-only,True,1,0,1
semgrep,0.121.2,2022-11-10 21:12:36.782000+00:00,LGPL-2.1-only,tree_created,requests,2.28.1,Apache-2.0,True,1,4,1
semgrep,0.35.0,2020-12-16 21:28:46.640000+00:00,LGPL-2.1-only,tree_created,requests,2.25.1,Apache-2.0,True,1,4,1
semgrep,0.77.0,2021-12-17 17:04:40.085000+00:00,LGPL-2.1-only,tree_created,requests,2.26.0,Apache-2.0,True,1,4,1
sphinx-autoapi,0.3.0,2015-10-12 22:11:00.631000+00:00,BSD-3-Clause,tree_created,unidecode,0.04.17,GPL-3.0-only,True,1,0,1
sphinx-autoapi,0.5.0,2017-11-13 16:33:32.623000+00:00,BSD-3-Clause,tree_created,unidecode,0.04.21,GPL-3.0-only,True,1,0,1
sphinx-autoapi,0.6.2,2018-11-15 22:03:22.187000+00:00,BSD-3-Clause,tree_created,unidecode,1.0.22,GPL-3.0-only,True,1,0,1
sphinx-autoapi,1.2.1,2019-10-10 03:09:50.127000+00:00,BSD-3-Clause,tree_created,unidecode,1.1.1,GPL-3.0-only,True,1,0,1
sphinx-autoapi,1.5.1,2020-10-03 05:05:55.935000+00:00,BSD-3-Clause,tree_created,unidecode,1.1.1,GPL-3.0-only,True,1,0,1
sphinx-autoapi,1.8.4,2021-08-16 17:30:40.790000+00:00,MIT,tree_created,unidecode,1.2.0,GPL-3.0-only,True,1,0,1
sphinx-autoapi,2.0.0,2022-09-28 00:10:46.378000+00:00,MIT,tree_created,unidecode,1.3.4,GPL-3.0-only,True,1,0,1
sphinx-toolbox,1.8.3,2020-12-26 21:41:39.030000+00:00,MIT,tree_created,autodocsumm,0.2.2,GPL-2.0-only,True,1,0,1
tavern,0.22.1,2018-12-28 18:15:38.229000+00:00,MIT,tree_created,paho-mqtt,1.3.1,EPL-1.0,True,1,0,1
tavern,1.0.0a2,2019-12-09 14:34:08.544000+00:00,MIT,tree_created,paho-mqtt,1.3.1,EPL-1.0,True,1,0,1
tavern,1.12.1,2020-12-11 17:11:54.829000+00:00,MIT,tree_created,paho-mqtt,1.5.1,EPL-1.0,True,1,0,1
tavern,2.0.0a17,2022-11-08 14:53:35.529000+00:00,MIT,tree_created,paho-mqtt,1.5.1,EPL-1.0,True,1,0,1
tavern,2.0.0a7,2021-12-12 14:50:35.723000+00:00,MIT,tree_created,paho-mqtt,1.5.1,EPL-1.0,True,1,0,1
tdigest,0.5.0.0,2017-12-27 04:46:36.767000+00:00,MIT,tree_created,accumulation-tree,0.3,GPL-3.0-or-later,True,1,0,1
tdigest,0.5.2.1,2018-05-05 13:25:38.696000+00:00,MIT,tree_created,accumulation-tree,0.3,GPL-3.0-or-later,True,1,0,1
textacy,0.3.2,2016-11-15 19:01:55.768000+00:00,Apache-2.0,tree_created,python-levenshtein,0.12.0,GPL-3.0-only,True,1,0,1
textacy,0.3.2,2016-11-15 19:01:55.768000+00:00,Apache-2.0,tree_created,fuzzywuzzy,0.14.0,GPL-2.0-only,True,1,0,1
textacy,0.5.0,2017-12-04 15:22:53.075000+00:00,Apache-2.0,tree_created,unidecode,0.04.21,GPL-3.0-only,True,1,0,1
textacy,0.5.0,2017-12-04 15:22:53.075000+00:00,Apache-2.0,tree_created,python-levenshtein,0.12.0,GPL-3.0-only,True,1,0,1
textacy,0.6.2,2018-07-19 19:18:22.005000+00:00,Apache-2.0,tree_created,unidecode,1.0.22,GPL-3.0-only,True,1,0,1
textacy,0.6.2,2018-07-19 19:18:22.005000+00:00,Apache-2.0,tree_created,python-levenshtein,0.12.0,GPL-3.0-only,True,1,0,1
textract,1.6.3,2019-08-26 15:05:55.157000+00:00,MIT,tree_created,extract-msg,0.23.1,GPL-3.0-only,True,1,3,1
uszipcode,1.0.1,2022-01-06 01:41:47.544000+00:00,MIT,tree_created,fuzzywuzzy,0.18.0,GPL-2.0-only,True,1,0,1
voxel51-eta,0.1.13,2020-12-21 14:43:22.356000+00:00,Apache-2.0,tree_created,patool,1.12,GPL-3.0-only,True,1,0,1
voxel51-eta,0.1.13,2020-12-21 14:43:22.356000+00:00,Apache-2.0,tree_created,ndjson,0.3.1,GPL-3.0-only,True,1,0,1
voxel51-eta,0.6.1,2021-11-24 14:02:24.396000+00:00,Apache-2.0,tree_created,patool,1.12,GPL-3.0-only,True,1,0,1
voxel51-eta,0.6.1,2021-11-24 14:02:24.396000+00:00,Apache-2.0,tree_created,ndjson,0.3.1,GPL-3.0-only,True,1,0,1
voxel51-eta,0.8.1,2022-09-09 14:41:55.756000+00:00,Apache-2.0,tree_created,patool,1.12,GPL-3.0-only,True,1,0,1
voxel51-eta,0.8.1,2022-09-09 14:41:55.756000+00:00,Apache-2.0,tree_created,ndjson,0.3.1,GPL-3.0-only,True,1,0,1
wemake-python-styleguide,0.13.3,2019-12-15 12:10:22.596000+00:00,MIT,tree_created,flake8-isort,2.8.0,GPL-2.0-only,True,1,2,1
