package,version,date,license,license_type
hacking,0.5.0,2013-03-18 19:24:19.308000+00:00,Apache-2.0,Permissive
ihepdirac,2.0.1,2021-11-19 07:41:33.889000+00:00,MIT,Permissive
mozrunner,0.1,2008-05-06 20:11:47+00:00,Apache-2.0,Permissive
mozrunner,1.2,2009-04-26 17:35:01.854000+00:00,MPL-2.0,Weak Copyleft
mozrunner,2.0a1,2009-03-18 23:10:06.037000+00:00,Apache-2.0,Permissive
mozrunner,2.0b3,2009-04-26 17:37:57.688000+00:00,MPL-2.0,Weak Copyleft
linear-tsv,0.0.0,2014-06-16 04:30:28.137000+00:00,Apache-2.0,Permissive
pyjwkest,0.3.0,2014-03-07 08:44:35.936000+00:00,Apache-2.0,Permissive
requests-async,0.0.1,2019-03-21 11:26:12.798000+00:00,BSD-3-Clause,Permissive
django-user-agents,0.1.1,2013-01-07 14:48:47.739000+00:00,MIT,Permissive
darglint,0.0.2,2017-10-01 23:09:40.647000+00:00,MIT,Permissive
blspy,0.1.5,2019-05-21 15:38:21.810000+00:00,Apache-2.0,Permissive
types-ipaddress,0.1.3,2021-06-17 15:00:48.496000+00:00,Apache-2.0,Permissive
jinja2-simple-tags,0.2.1,2020-07-08 07:13:17.182000+00:00,BSD-3-Clause,Permissive
fancycompleter,0.1,2010-11-16 00:46:05.773000+00:00,BSD-3-Clause,Permissive
python-sat,0.1.1dev3,2018-01-28 17:49:34.597000+00:00,MIT,Permissive
google-cloud-profiler,1.0.1,2019-02-13 20:42:15.082000+00:00,Apache-2.0,Permissive
metricflow-lite,0.110.1,2022-08-02 19:58:49.619000+00:00,AGPL-3.0-or-later,Strong Copyleft
alive-progress,1.0,2019-08-05 06:01:37.980000+00:00,MIT,Permissive
extract-msg,0.20.6,2018-12-05 02:56:16.278000+00:00,GPL-3.0-only,Strong Copyleft
typing-utils,0.0.2,2020-11-22 05:44:22.489000+00:00,Apache-2.0,Permissive
